Reference, Value, Footprint, Datasheet
"D1","1N4148","Diodes_SMD:D_SOD-323_HandSoldering",""
"J1","IN","Pin_Headers:Pin_Header_Angled_1x03_Pitch2.54mm",""
"J2","SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"TP3","TX","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"TP4","RX","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"R1","1k","Resistors_SMD:R_0603_HandSoldering",""
"Q1","PMV30UN","TO_SOT_Packages_SMD:SOT-23",""
"TP2","GND","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"TP1","VCC","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"U1","STC15W104","SMD_Packages:SOIC-8-N",""
"C1","1u","Capacitors_SMD:C_0603_HandSoldering",""
